Protocol,Vector,Score,RubricLevel,Justification,Evidence
Rain,A12 Censorship,2,"Core permissionless, operator frontend","Core contracts are permissionless but the primary frontend is operator-run, giving partial censorship resistance.",Appendix A rubric + architecture
Rain,A13 Griefing,2,"Permissionless, deposit deters mass spam","Permissionless creation with a deposit deters mass spam-market griefing, giving partial mitigation.",Appendix A rubric + architecture
Rain,A14 Rug pull,2,"Non-custodial core, upgradable + timelock",Non-custodial core with upgradable components behind a timelock gives partial rug-pull protection.,Appendix A rubric + architecture
Opinion,A1 Oracle manipulation,2,"rho in [0.3,1] (UMA rho approx 0.2-0.4)",Opinion resolves via a specified AI-assisted oracle whose manipulation resistance sits in the partial rho range rather than at fork/regulator level.,Appendix A rubric + architecture
Opinion,A2 Data source,2,"Specified, edge cases handled by disputes","Outcomes rest on a specified source with dispute handling for edge cases, giving partial mitigation.",Appendix A rubric + architecture
Opinion,A3 Resolution front-running,1,"Resolution tx public, trading open","The on-chain resolution transaction is public while CLOB trading stays open, so searchers can capture the price-to-0/1 gap.",Appendix A rubric + architecture
Opinion,A4 Governance,1,"Token-weighted, flash-loan exposed","Governance is operator/token-controlled and directly exposed rather than protected by a >24h timelock, matching the flash-loan-exposed Score-1 condition.",Appendix A rubric + architecture
Opinion,A5 Wash trading,2,Fee/stake structure or behavioral detection,"No-KYC trading with rewards for larger trades gives incentives for wash trading; ~14% of wallets and 45% of all-time sports volume are flagged suspicious, but fee/reward friction keeps it at partial (2).",[49]
Opinion,A6 Outcome manipulation,2,"Curated creation, limited surveillance",Curated creation with limited surveillance gives partial outcome-manipulation mitigation.,Appendix A rubric + architecture
Opinion,A7 Price manipulation,2,Moderate liquidity or position monitoring,"CLOB liquidity gives moderate depth but no hard position limits, giving partial mitigation.",Appendix A rubric + architecture
Opinion,A8 MEV,2,"Off-chain matching, not eliminated","Off-chain-assisted matching reduces but does not eliminate on-chain MEV, giving partial mitigation.",Appendix A rubric + architecture
Opinion,A9 SC bugs,1,No audit or bounty,"Opinion contracts lack a public audit or bounty, matching the no-audit Score-1 condition.",Appendix A rubric + architecture
Opinion,A10 Flash loan,2,Partial (short-window TWAP),"Core operations are not one-block drainable but short-window exposure remains, giving partial resistance.",Appendix A rubric + architecture
Opinion,A11 Insider,1,"Pseudonymous, no monitoring",Pseudonymous trading with no insider surveillance leaves insider activity unmonitored.,Appendix A rubric + architecture
Opinion,A12 Censorship,1,"Operator can halt, remove, or block","Operator-controlled matching and market removal let Opinion halt, remove, or block markets, so censorship resistance is minimal.",Appendix A rubric + architecture
Opinion,A13 Griefing,2,"Permissionless, deposit deters mass spam","Curated creation with a deposit deters mass spam-market griefing, giving partial mitigation.",Appendix A rubric + architecture
Opinion,A14 Rug pull,2,"Non-custodial core, upgradable + timelock",Non-custodial core with upgradable components behind a timelock gives partial rug-pull protection.,Appendix A rubric + architecture
Limitless,A1 Oracle manipulation,2,"rho in [0.3,1] (UMA rho approx 0.2-0.4)",Limitless resolves via a specified oracle whose manipulation resistance sits in the partial rho range rather than at fork/regulator level.,Appendix A rubric + architecture
Limitless,A2 Data source,2,"Specified, edge cases handled by disputes","Outcomes rest on a specified source with dispute handling for edge cases, giving partial mitigation.",Appendix A rubric + architecture
Limitless,A3 Resolution front-running,1,"Resolution tx public, trading open","The on-chain (Base) resolution transaction is public while CLOB trading stays open, so searchers can capture the price-to-0/1 gap.",Appendix A rubric + architecture
Limitless,A4 Governance,2,Snapshot voting + >24h timelock,Governance is token-weighted behind voting and a timelock rather than directly flash-loan exposed.,Appendix A rubric + architecture
Limitless,A5 Wash trading,2,Fee/stake structure or behavioral detection,Permissionless trading with no identity layer but fee/stake friction gives partial wash-trading deterrence.,Appendix A rubric + architecture
Limitless,A6 Outcome manipulation,2,"Curated creation, limited surveillance",Curated market creation with limited surveillance gives partial outcome-manipulation mitigation.,Appendix A rubric + architecture
Limitless,A7 Price manipulation,2,Moderate liquidity or position monitoring,"CLOB liquidity gives moderate depth but no hard position limits, giving partial mitigation.",Appendix A rubric + architecture
Limitless,A8 MEV,2,"Off-chain matching, not eliminated","Off-chain-assisted matching reduces but does not eliminate on-chain MEV, giving partial mitigation.",Appendix A rubric + architecture
Limitless,A9 SC bugs,2,"Professional audit, active bounty",Limitless contracts carry a professional audit and bounty but are not formally verified.,Appendix A rubric + architecture
Limitless,A10 Flash loan,2,Partial (short-window TWAP),"Core operations are not one-block drainable but short-window exposure remains, giving partial resistance.",Appendix A rubric + architecture
Limitless,A11 Insider,1,"Pseudonymous, no monitoring",Pseudonymous trading with no insider surveillance leaves insider activity unmonitored.,Appendix A rubric + architecture
Limitless,A12 Censorship,2,"Core permissionless, operator frontend","Core contracts are permissionless but the primary frontend is operator-run, giving partial censorship resistance.",Appendix A rubric + architecture
Limitless,A13 Griefing,2,"Permissionless, deposit deters mass spam","Permissionless creation with a deposit deters mass spam-market griefing, giving partial mitigation.",Appendix A rubric + architecture
Limitless,A14 Rug pull,2,"Non-custodial core, upgradable + timelock",Non-custodial core with upgradable components behind a timelock gives partial rug-pull protection.,Appendix A rubric + architecture
